purpose,total_loans,portfolio_share_pct,defaulted_loans,default_rate_pct,average_loan_amount_usd,median_loan_amount_usd,grade_bc_share_pct,average_interest_rate_pct,average_annual_income_usd,median_annual_income_usd,average_dti,average_fico_score
debt_consolidation,255805,57.41,38943,15.22,13189.82,11000.0,61.94,11.95,72397.73,60000.0,18.63,694.1
credit_card,110750,24.85,13276,11.99,13720.01,12000.0,57.09,10.17,74657.2,62000.0,18.0,695.93
home_improvement,25814,5.79,3347,12.97,11975.5,10000.0,58.17,11.64,88588.38,71000.0,16.28,701.18
other,23479,5.27,3829,16.31,8366.11,6400.0,58.47,14.02,67879.27,55000.0,17.72,694.09
major_purchase,8230,1.85,1162,14.12,10119.06,7825.0,57.55,11.76,76206.51,63000.0,15.5,703.23
medical,5031,1.13,882,17.53,7379.32,6000.0,61.08,13.78,69643.66,59000.0,18.08,695.4
car,4284,0.96,543,12.68,8175.52,6400.0,58.52,11.55,68816.89,55000.0,15.55,701.24
small_business,4059,0.91,925,22.79,13747.56,10475.0,42.15,16.17,93552.23,73200.0,15.18,696.64
moving,3194,0.72,660,20.66,6799.37,5100.0,49.72,15.52,66305.23,54000.0,17.04,693.13
vacation,3136,0.7,502,16.01,5637.8,5000.0,61.1,13.96,66777.31,58000.0,17.98,693.61
house,1515,0.34,317,20.92,11942.82,10000.0,37.82,16.5,76339.65,62000.0,15.58,696.06
renewable_energy,287,0.06,61,21.25,8473.78,7000.0,43.55,15.81,67584.49,57000.0,17.08,692.85
wedding,11,0.0,0,0.0,10122.73,5500.0,72.73,14.92,87174.45,95919.0,16.7,702.0
educational,1,0.0,0,0.0,2200.0,2200.0,100.0,11.53,64500.0,64500.0,19.62,662.0
